time,open,high,low,close,Volume,RSI,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2022-03-25,44012.36,45130.91,43605.8,44331.85,19128.15182,62.15641603767992,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-26,44336.19,44820.58,44091.09,44539.42,7305.19255,62.75632195329488,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-27,44538.21,46950,44437.22,46850.01,10356.11755,68.70371522862295,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-28,46850.01,48240,46662.28,47144.92,18787.67764,69.37590007865651,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-29,47146.92,48124.94,46589,47454.19,15776.66554,70.10114300178482,NaN,NaN,NaN,NaN,70.10114300178482,NaN
2022-03-30,47448.41,47717.01,46544.89,47078.03,12672.46025,67.99204023886597,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-31,47078.02,47624.09,45211,45528.45,17454.80594,59.985498243833426,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-01,45525.25,46739.24,44232.86,46296.34,18111.15046,62.351444747163654,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-02,46296.36,47219.46,45642.89,45826.27,8380.15705,60.012202080726496,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-03,45826.24,47469.4,45552.07,46422.16,8773.78632,61.960484782783986,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-04,46420.08,46900,45129.93,46596.83,13802.45549,62.5366773934011,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-05,46594.39,47200,45371.16,45506.5,14390.58758,56.757327678910826,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-06,45509.92,45523.25,43115.26,43166.7,24250.38717,46.768717001601175,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-07,43166.71,43908.58,42734.69,43452.18,13245.38068,47.9718216424667,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-08,43444.71,44000,42112,42262.02,11929.53569,43.55242339554628,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-09,42261.9,42816.38,42118.96,42766.93,4805.73132,45.83229641256542,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-10,42766.46,43443.32,41885.86,42165.96,5770.50781,43.576296006984904,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-11,42165.96,42424.14,39204.59,39535.87,17229.38723,35.37064510337373,NaN,NaN,35.37064510337373,NaN,NaN,NaN
2022-04-12,39535.88,40705.68,39250,40086.23,13866.43288,38.00154617825475,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-13,40086.7,41570.88,39550,41146.68,11457.64826,42.83064412665584,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-14,41147.15,41512.43,39573.8,39954.08,11020.38629,39.13850016519373,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-15,39953.62,40850,39770.22,40554.58,6448.02596,41.856372386651444,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-16,40554.6,40699.99,40005,40387.6,4084.27737,41.304021757046904,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-17,40387.6,40605.46,39553.07,39683.54,4833.32947,38.96894168958288,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-18,39681.11,41100,38550,40803.58,13090.80854,44.358088581978265,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-19,40810.87,41772.94,40571.99,41503.85,10218.12822,47.48061026774499,NaN,NaN,NaN,NaN,47.48061026774499,NaN
2022-04-20,41501.56,42209.58,40900,41377.61,14609.29846,46.96889320655971,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-21,41371.88,43109.47,39744.75,40480.81,17204.36793,43.39123450259488,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-22,40483.38,40802.65,39174.8,39712.25,16871.33546,40.541188197394455,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-23,39712.2,39993.82,39296.19,39465.87,6957.18149,39.6422687666049,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-24,39459.63,39945.74,39000,39464.56,6436.47111,39.63723633142898,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-25,39463.75,40605.3,38210.24,40439.22,20515.8896,45.210196759117366,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-26,40440.9,40817.16,37700,38113.82,21648.12866,36.541845050375464,NaN,NaN,36.541845050375464,NaN,NaN,NaN
2022-04-27,38118.43,39470,37882.83,39251.11,20832.21095,42.3623982682789,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-28,39251.02,40400,38883.83,39743.22,16718.84501,44.72495153383615,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-29,39741.21,39926.8,38161.85,38593.1,14282.27439,40.54231698269675,NaN,NaN,NaN,NaN,NaN,NaN
2022-04-30,38592.27,38795,37590,37644.1,6931.08619,37.431694743080875,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-01,37640.35,38675.37,37401,38473.05,7980.91433,41.6435585138928,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-02,38469.49,39181.27,38041,38510.89,17946.9979,41.83603664426454,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-03,38510.88,38643.48,37505.01,37719.59,17947.00886,38.9433547797613,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-04,37719.58,40038.27,37651.38,39669.56,21513.96847,48.40983445982339,NaN,NaN,NaN,NaN,48.40983445982339,NaN
2022-05-05,39669.56,39864.55,35568,36537.22,28833.01232,38.17166483339357,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-06,36537.22,36664.4,35255.4,35999.1,28626.66324,36.734336955989264,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-07,35999.1,36125,34785,35458,11372.46757,35.29516385470505,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-08,35458,35499.93,33701,34027.91,22357.52596,31.754265802476468,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-09,34033.49,34231.54,30010,30078.27,55136.46787,24.45674033661976,NaN,NaN,24.45674033661976,NaN,NaN,NaN
2022-05-10,30078.27,32645.49,29735.05,31002.39,55818.03343,28.591758503507137,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-11,31002.39,32185.9,27682.38,28972.34,61530.04504,25.313809067534905,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-12,28977.75,30091.2,25338.53,28941.95,70702.62369,25.267108133054975,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-13,28941.95,30990,28662.7,29232.18,34643.06556,26.658703389026215,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-14,29234.73,30287.58,28564.38,30041.88,15245.48249,30.54445127202969,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-15,30041.9,31418.35,29436.06,31290.05,16440.90728,36.159536481677456,NaN,NaN,NaN,NaN,NaN,NaN
